Customer_ID,Age,Gender,Region,Income_Range,Account_Tenure_Years,Transaction_ID,Transaction_Date,Transaction_Amount,Merchant_Category,Payment_Status,Payment_Method,Credit_Limit,Current_Balance,Reward_Points_Earned,Reward_Points_Redeemed,Risk_Flag
CUST100000,56.0,Male,Ohio,Medium,14,TXN500000,2022-11-13,1816.0,Groceries,Paid,Credit Card,80282.0,44814.0,2320,1216,Low
CUST100001,69.0,Female,New York,Low,8,TXN500001,2023-07-15,3289.0,Retail,Paid,Debit Card,93940.0,40598.0,964,432,Low
CUST100002,46.0,Female,Florida,Low,14,TXN500002,2023-03-18,715.0,Utilities,Late,Debit Card,,65486.0,2491,3484,Low
CUST100003,32.0,Male,Texas,Low,14,TXN500003,2022-09-19,3145.0,Retail,Paid,Credit Card,13654.0,19302.0,507,2118,Low
CUST100004,60.0,Male,Arizona,Low,6,TXN500004,2022-03-13,630.0,Online Shopping,Late,UPI,26901.0,4567.0,4146,2798,Low
CUST100005,25.0,Male,Arizona,Medium,10,TXN500005,2022-04-30,652.0,Groceries,Defaulted,Debit Card,14520.0,7153.0,799,828,Medium
CUST100006,38.0,Female,Georgia,High,5,TXN500006,2022-03-15,3496.0,Travel,Defaulted,Credit Card,89283.0,13944.0,3701,3746,Low
CUST100007,56.0,Male,Washington,High,3,TXN500007,2023-01-23,2576.0,Food,Paid,Debit Card,60835.0,67236.0,3931,1451,Low
CUST100008,36.0,Female,Georgia,Low,9,TXN500008,2023-05-06,1976.0,Retail,Paid,Bank Transfer,58362.0,16992.0,3448,809,Low
CUST100009,40.0,Male,Illinois,Medium,7,TXN500009,2022-08-29,1253.0,Travel,Paid,Bank Transfer,45117.0,58058.0,4647,284,High
CUST100010,28.0,Female,Oregon,Low,10,TXN500010,2022-03-25,4692.0,Utilities,Paid,Credit Card,82391.0,60492.0,1950,445,Medium
CUST100011,28.0,Female,Florida,Low,14,TXN500011,2022-03-19,112.0,Retail,Paid,Credit Card,29790.0,57339.0,3882,3258,Low
CUST100012,41.0,Female,Texas,Medium,9,TXN500012,2022-03-17,4790.0,Health,Paid,Credit Card,51092.0,68425.0,133,3674,Low
CUST100013,53.0,Female,Washington,Low,12,TXN500013,2022-06-17,4568.0,Entertainment,Paid,UPI,31296.0,12602.0,1252,658,Low
CUST100014,57.0,Male,New York,Medium,14,TXN500014,2022-02-15,2773.0,Health,Paid,UPI,78046.0,6198.0,971,1819,Low
CUST100015,41.0,Male,Arizona,Low,11,TXN500015,2023-11-16,2883.0,Entertainment,Paid,UPI,20091.0,4055.0,4838,401,Low
CUST100016,20.0,Other,California,Low,14,TXN500016,2023-03-22,3476.0,Health,Paid,Debit Card,80733.0,36793.0,4847,2424,Low
CUST100017,39.0,Male,Arizona,Low,14,TXN500017,2023-10-05,2073.0,Groceries,Paid,Debit Card,37546.0,68872.0,181,3322,Low
CUST100018,19.0,Female,Illinois,Medium,4,TXN500018,2023-03-02,462.0,Health,Paid,Bank Transfer,48343.0,70141.0,424,2497,Low
CUST100019,41.0,Female,Oregon,Low,7,TXN500019,2022-07-30,1519.0,Food,Late,Credit Card,52202.0,39313.0,1154,423,Low
CUST100020,61.0,Female,Ohio,High,6,TXN500020,2022-07-15,1478.0,Retail,Paid,Debit Card,30548.0,72477.0,4216,682,High
CUST100021,47.0,Male,Georgia,High,2,TXN500021,2023-10-23,1822.0,Groceries,Paid,UPI,47441.0,45012.0,3542,1085,High
CUST100022,55.0,Male,Texas,High,13,TXN500022,2023-12-01,2764.0,Health,Paid,UPI,16330.0,67236.0,1657,1224,Medium
CUST100023,19.0,Female,Illinois,High,6,TXN500023,2022-03-08,3746.0,Food,Paid,Credit Card,54063.0,76942.0,632,171,Low
CUST100024,38.0,Male,Florida,Low,8,TXN500024,2022-11-20,3873.0,Online Shopping,Late,Debit Card,53528.0,29367.0,2139,2966,Medium
CUST100025,50.0,Female,ILLINOIS,Medium,13,TXN500025,2023-06-28,2160.0,Health,Paid,Debit Card,19967.0,50253.0,4477,2218,Low
CUST100026,29.0,Female,Florida,Low,2,TXN500026,2023-04-10,3973.0,Utilities,Paid,UPI,10249.0,74539.0,2520,62,Low
